,R,G,B,S
107,0.24102745098039216,0.18081568627450978,0.17810980392156864,0.9695
108,0.2410627450980392,0.18068235294117646,0.1782,0.9695
109,0.24094509803921568,0.18030588235294118,0.1780156862745098,0.9695
110,0.24089803921568628,0.18011372549019608,0.17805490196078433,0.9695
111,0.2409686274509804,0.18014901960784316,0.17803137254901963,0.9695
112,0.2410156862745098,0.1801098039215686,0.1781450980392157,0.9695
113,0.24076470588235296,0.17960392156862745,0.17775686274509805,0.9695
114,0.24035686274509802,0.17900392156862746,0.1775450980392157,0.9695
115,0.2402235294117647,0.17882745098039216,0.17740784313725488,0.9695
116,0.24036470588235292,0.1789058823529412,0.17746666666666666,0.9695
117,0.24081176470588234,0.17931764705882353,0.17773333333333335,0.9695
118,0.24126666666666668,0.17992549019607842,0.17832549019607843,0.9695
119,0.24183137254901962,0.18049803921568627,0.1785450980392157,0.9695
120,0.24233725490196079,0.18107058823529412,0.17911764705882352,0.9695
121,0.24259607843137257,0.18160392156862745,0.17915686274509804,0.9695155402963499
122,0.2430313725490196,0.1820078431372549,0.1794666666666667,0.9695321976541709
123,0.2433607843137255,0.18248235294117648,0.17961960784313724,0.969548855011992
124,0.24361960784313724,0.18294901960784313,0.17991372549019607,0.9695655123698131
125,0.24390588235294117,0.1832392156862745,0.1803372549019608,0.9695821697276341
126,0.24432156862745097,0.18383137254901963,0.18072549019607845,0.9695988270854552
127,0.24468235294117646,0.1843019607843137,0.18094509803921568,0.9696154844432763
128,0.2451450980392157,0.18480000000000002,0.18121960784313726,0.9696321418010974
129,0.24559215686274508,0.18529803921568627,0.18151764705882353,0.9696487991589184
130,0.2459058823529412,0.1858,0.18205098039215686,0.9696654565167395
131,0.24645882352941176,0.18639607843137254,0.18220392156862747,0.9696821138745606
132,0.24689019607843138,0.1870156862745098,0.18250980392156863,0.9696987712323817
133,0.2473450980392157,0.187678431372549,0.1828235294117647,0.9697154285902028
134,0.24783529411764707,0.18820784313725492,0.1833529411764706,0.9697320859480238
135,0.24828235294117645,0.18884313725490195,0.18343529411764709,0.9697487433058448
136,0.24880000000000002,0.18949803921568628,0.1838392156862745,0.969765400663666
137,0.24910196078431374,0.1900941176470588,0.18419607843137253,0.9697820580214871
138,0.24954509803921568,0.19072549019607843,0.18454509803921568,0.9697987153793081
139,0.24995686274509804,0.19125490196078432,0.1850549019607843,0.9698153727371291
140,0.2502980392156863,0.19172941176470587,0.18534901960784314,0.9698320300949503
141,0.25070588235294117,0.19228627450980393,0.18566274509803923,0.9698486874527713
142,0.2511333333333333,0.19286274509803922,0.18578039215686276,0.9698653448105924
143,0.2511764705882353,0.19310588235294116,0.18587843137254903,0.9698820021684135
144,0.24903921568627452,0.19070196078431373,0.18417254901960783,0.9698986595262344
145,0.24591764705882355,0.18692549019607843,0.18160784313725492,0.9699153168840556
146,0.24406666666666668,0.1842235294117647,0.18041960784313724,0.9699319742418767
147,0.2435843137254902,0.18328627450980392,0.1799764705882353,0.9699486315996977
148,0.2438078431372549,0.1832549019607843,0.18010588235294117,0.9699652889575188
149,0.24410588235294117,0.18345098039215688,0.1802666666666667,0.96998194631534
150,0.24415686274509804,0.18351372549019607,0.18043529411764708,0.9699986036731609
151,0.24429019607843136,0.18354901960784314,0.18052156862745097,0.970015261030982
152,0.24460392156862745,0.18380392156862743,0.18066274509803923,0.9700319183888031
153,0.24458823529411763,0.18390196078431373,0.18068627450980393,0.9700485757466243
154,0.2443686274509804,0.18362745098039218,0.1805372549019608,0.9700652331044453
155,0.24385882352941177,0.1830392156862745,0.17988235294117647,0.9700818904622663
156,0.2438392156862745,0.1827686274509804,0.1801333333333333,0.9700985478200874
157,0.2439843137254902,0.18288627450980394,0.18011372549019608,0.9701152051779084
158,0.2443843137254902,0.183278431372549,0.1803254901960784,0.9701318625357296
159,0.24477254901960785,0.18370196078431372,0.18055686274509805,0.9701485198935507
160,0.24535686274509805,0.18436470588235293,0.18105882352941177,0.9701651772513716
161,0.24574901960784312,0.18500392156862747,0.18154901960784314,0.9701818346091927
162,0.2462078431372549,0.1855529411764706,0.18189803921568629,0.9701984919670139
163,0.24650588235294119,0.1861921568627451,0.18196862745098039,0.9702151493248349
164,0.24682745098039216,0.18652549019607842,0.1823686274509804,0.970231806682656
165,0.24720784313725488,0.18698823529411765,0.18247058823529413,0.970248464040477
166,0.24755686274509806,0.1874392156862745,0.18280392156862746,0.970265121398298
167,0.2478862745098039,0.1878549019607843,0.18309411764705882,0.9702817787561192
168,0.2483450980392157,0.18827450980392155,0.18345882352941176,0.9702984361139403
169,0.24865882352941177,0.18871764705882352,0.18358039215686275,0.9703150934717613
170,0.24901568627450982,0.1893450980392157,0.18404705882352942,0.9703317508295823
171,0.24954901960784312,0.18993725490196078,0.18438039215686275,0.9703484081874035
172,0.24993725490196078,0.1905137254901961,0.1849450980392157,0.9703650655452246
173,0.2502745098039216,0.19104313725490196,0.18498823529411765,0.9703817229030456
174,0.2507490196078431,0.19161960784313725,0.1854470588235294,0.9703983802608667
175,0.2510823529411765,0.19218823529411766,0.18566666666666667,0.9704150376186879
176,0.2516274509803922,0.19276470588235295,0.18610980392156862,0.9704316949765088
